DateTime,,,,,Ident,Secs,TX,RX
20180424184609,,,,,-1,60.0-61.0,2228224,17825792
20180424184610,,,,,5,61.0-62.0,524288,4194304
20180424184610,,,,,4,61.0-62.0,655360,5242880
20180424184610,,,,,3,61.0-62.0,524288,4194304
20180424184610,,,,,7,61.0-62.0,393216,3145728
20180424184610,,,,,6,61.0-62.0,524288,4194304
20180424184610,,,,,-1,61.0-62.0,2621440,20971520
20180424184611,,,,,5,62.0-63.0,655360,5242880
20180424184611,,,,,4,62.0-63.0,524288,4194304
20180424184611,,,,,7,62.0-63.0,393216,3145728
20180424184611,,,,,3,62.0-63.0,524288,4194304
20180424184611,,,,,6,62.0-63.0,393216,3145728
20180424184611,,,,,-1,62.0-63.0,2490368,19922944
20180424184612,,,,,5,63.0-64.0,655360,5242880
20180424184612,,,,,4,63.0-64.0,655360,5242880
20180424184612,,,,,7,63.0-64.0,393216,3145728
20180424184612,,,,,3,63.0-64.0,524288,4194304
20180424184612,,,,,6,63.0-64.0,393216,3145728
20180424184612,,,,,-1,63.0-64.0,2621440,20971520
20180424184613,,,,,5,64.0-65.0,524288,4194304
20180424184613,,,,,4,64.0-65.0,524288,4194304
20180424184613,,,,,3,64.0-65.0,524288,4194304
20180424184613,,,,,7,64.0-65.0,393216,3145728
20180424184613,,,,,6,64.0-65.0,262144,2097152
20180424184613,,,,,-1,64.0-65.0,2228224,17825792
20180424184614,,,,,5,65.0-66.0,524288,4194304
20180424184614,,,,,4,65.0-66.0,524288,4194304
20180424184614,,,,,3,65.0-66.0,524288,4194304
20180424184614,,,,,7,65.0-66.0,393216,3145728
20180424184614,,,,,6,65.0-66.0,393216,3145728
20180424184614,,,,,-1,65.0-66.0,2359296,18874368
20180424184615,,,,,3,66.0-67.0,524288,4194304
20180424184615,,,,,4,66.0-67.0,655360,5242880
20180424184615,,,,,5,66.0-67.0,655360,5242880
20180424184615,,,,,7,66.0-67.0,524288,4194304
20180424184615,,,,,6,66.0-67.0,393216,3145728
20180424184615,,,,,-1,66.0-67.0,2752512,22020096
20180424184616,,,,,5,67.0-68.0,655360,5242880
20180424184616,,,,,3,67.0-68.0,655360,5242880
20180424184616,,,,,4,67.0-68.0,655360,5242880
20180424184616,,,,,7,67.0-68.0,393216,3145728
20180424184616,,,,,6,67.0-68.0,393216,3145728
20180424184616,,,,,-1,67.0-68.0,2752512,22020096
20180424184617,,,,,4,68.0-69.0,524288,4194304
20180424184617,,,,,5,68.0-69.0,524288,4194304
20180424184617,,,,,6,68.0-69.0,262144,2097152
20180424184617,,,,,3,68.0-69.0,524288,4194304
20180424184617,,,,,7,68.0-69.0,393216,3145728
20180424184617,,,,,-1,68.0-69.0,2228224,17825792
20180424184618,,,,,4,69.0-70.0,655360,5242880
20180424184618,,,,,5,69.0-70.0,655360,5242880
20180424184618,,,,,3,69.0-70.0,524288,4194304
20180424184618,,,,,7,69.0-70.0,393216,3145728
20180424184618,,,,,6,69.0-70.0,524288,4194304
20180424184618,,,,,-1,69.0-70.0,2752512,22020096
20180424184619,,,,,4,70.0-71.0,655360,5242880
20180424184619,,,,,7,70.0-71.0,524288,4194304
20180424184619,,,,,5,70.0-71.0,655360,5242880
20180424184619,,,,,6,70.0-71.0,393216,3145728
20180424184619,,,,,3,70.0-71.0,524288,4194304
20180424184619,,,,,-1,70.0-71.0,2752512,22020096
20180424184620,,,,,4,71.0-72.0,393216,3145728
20180424184620,,,,,5,71.0-72.0,262144,2097152
20180424184620,,,,,3,71.0-72.0,262144,2097152
20180424184620,,,,,6,71.0-72.0,262144,2097152
20180424184620,,,,,7,71.0-72.0,393216,3145728
20180424184620,,,,,-1,71.0-72.0,1572864,12582912
20180424184621,,,,,3,72.0-73.0,524288,4194304
20180424184621,,,,,6,72.0-73.0,524288,4194304
20180424184621,,,,,4,72.0-73.0,655360,5242880
20180424184621,,,,,5,72.0-73.0,655360,5242880
20180424184621,,,,,7,72.0-73.0,524288,4194304
20180424184621,,,,,-1,72.0-73.0,2883584,23068672
20180424184622,,,,,5,73.0-74.0,393216,3145728
20180424184622,,,,,4,73.0-74.0,524288,4194304
20180424184622,,,,,3,73.0-74.0,524288,4194304
20180424184622,,,,,6,73.0-74.0,655360,5242880
20180424184622,,,,,7,73.0-74.0,524288,4194304
20180424184622,,,,,-1,73.0-74.0,2621440,20971520
20180424184623,,,,,5,74.0-75.0,393216,3145728
20180424184623,,,,,7,74.0-75.0,393216,3145728
20180424184623,,,,,6,74.0-75.0,524288,4194304
20180424184623,,,,,4,74.0-75.0,524288,4194304
